lens_type,current_stage,days_elapsed,sla_days,delay_flag
Single Vision,Order Placed,4,5,0
Bifocal,Manufacturing,2,7,0
Single Vision,Prescription Verified,9,5,1
Single Vision,Prescription Verified,3,5,0
Bifocal,Order Placed,8,7,1
Photochromic,Reorder Required,3,8,1
Progressive,Order Placed,5,10,0
Blue Cut,Quality Check Failed,4,6,0
Progressive,Prescription Verified,2,10,0
Blue Cut,Prescription Verified,5,6,0
Progressive,Quality Check,1,10,0
Blue Cut,Prescription Verified,6,6,0
Progressive,Quality Check Failed,6,10,1
Single Vision,Manufacturing,4,5,1
Bifocal,Prescription Verified,6,7,1
Progressive,Lens Allocated,11,10,1
Progressive,Prescription Verified,5,10,0
Photochromic,Manufacturing,2,8,0
Blue Cut,Reorder Required,4,6,1
Photochromic,Manufacturing,10,8,1
Single Vision,Manufacturing,0,5,0
Progressive,Reorder Required,8,10,0
Photochromic,Quality Check Failed,3,8,1
Blue Cut,Dispatched,2,6,0
Progressive,Lens Allocated,7,10,0
Photochromic,Quality Check,11,8,1
Photochromic,Reorder Required,5,8,0
Bifocal,Dispatched,1,7,0
Single Vision,Prescription Verified,2,5,0
Bifocal,Reorder Required,9,7,1
Blue Cut,Quality Check,8,6,1
Single Vision,Prescription Verified,10,5,1
Progressive,Quality Check Failed,3,10,0
Bifocal,Dispatched,0,7,0
Progressive,Lens Allocated,3,10,0
Progressive,Manufacturing,4,10,0
Progressive,Lens Allocated,0,10,0
Photochromic,Quality Check Failed,7,8,1
Progressive,Manufacturing,1,10,0
Bifocal,Prescription Verified,1,7,0
Blue Cut,Prescription Verified,8,6,1
Bifocal,Dispatched,8,7,1
Photochromic,Reorder Required,3,8,1
Bifocal,Quality Check,6,7,1
Progressive,Dispatched,14,10,0
Bifocal,Prescription Verified,5,7,0
Single Vision,Manufacturing,9,5,1
Single Vision,Manufacturing,1,5,0
Single Vision,Quality Check Failed,1,5,1
Progressive,Dispatched,6,10,0
Photochromic,Lens Allocated,11,8,1
Photochromic,Dispatched,3,8,0
Blue Cut,Reorder Required,3,6,0
Blue Cut,Quality Check Failed,6,6,1
Single Vision,Prescription Verified,0,5,0
Blue Cut,Quality Check Failed,1,6,0
Bifocal,Dispatched,2,7,0
Blue Cut,Lens Allocated,4,6,0
Blue Cut,Manufacturing,1,6,0
Blue Cut,Prescription Verified,0,6,0
Photochromic,Order Placed,1,8,0
Bifocal,Lens Allocated,6,7,1
Bifocal,Reorder Required,0,7,0
Single Vision,Reorder Required,4,5,1
Blue Cut,Quality Check,6,6,1
Photochromic,Dispatched,2,8,0
Bifocal,Quality Check,3,7,0
Single Vision,Order Placed,5,5,0
Photochromic,Dispatched,8,8,1
Photochromic,Lens Allocated,0,8,0
Photochromic,Prescription Verified,13,8,1
Photochromic,Prescription Verified,10,8,1
Blue Cut,Prescription Verified,9,6,1
Photochromic,Order Placed,9,8,0
Photochromic,Quality Check Failed,4,8,0
Progressive,Manufacturing,8,10,0
Progressive,Dispatched,10,10,1
Single Vision,Order Placed,7,5,1
Photochromic,Prescription Verified,1,8,0
Photochromic,Manufacturing,8,8,1
Single Vision,Manufacturing,5,5,1
Photochromic,Quality Check,9,8,1
Photochromic,Order Placed,10,8,1
Progressive,Prescription Verified,4,10,0
Progressive,Prescription Verified,3,10,0
Photochromic,Lens Allocated,4,8,0
Progressive,Manufacturing,10,10,1
Progressive,Dispatched,8,10,0
Single Vision,Prescription Verified,10,5,1
Progressive,Order Placed,0,10,0
Progressive,Lens Allocated,8,10,0
Bifocal,Dispatched,8,7,1
Photochromic,Order Placed,1,8,0
Single Vision,Lens Allocated,8,5,0
Progressive,Lens Allocated,13,10,0
Progressive,Quality Check Failed,1,10,1
Bifocal,Manufacturing,10,7,1
Blue Cut,Lens Allocated,3,6,0
Bifocal,Lens Allocated,6,7,0
Progressive,Reorder Required,7,10,0
Single Vision,Reorder Required,0,5,1
Bifocal,Manufacturing,7,7,1
Bifocal,Manufacturing,0,7,0
Bifocal,Reorder Required,5,7,0
Single Vision,Quality Check,5,5,1
Blue Cut,Quality Check Failed,0,6,0
Progressive,Lens Allocated,8,10,0
Single Vision,Prescription Verified,9,5,1
Progressive,Reorder Required,3,10,1
Photochromic,Manufacturing,4,8,0
Single Vision,Reorder Required,0,5,1
